Trip ID,Pickup Date,Pickup Hour,Vehicle,Payment_type,No Of Passengers,Trip Distance,Booking Value,Pickup Location,Total Bookings
33898,2024-06-11 00:00:00,1899-12-30 16:08:40,UberX,Uber Pay,1,2.8,$16.8,Central Park,1.0
33903,2024-06-11 00:00:00,1899-12-30 16:57:33,UberX,Uber Pay,1,2.3,$13.0,Midtown East,1.0
33906,2024-06-11 00:00:00,1899-12-30 16:49:23,UberX,Uber Pay,1,1.6,$9.0,Flatiron,1.0
33907,2024-06-11 00:00:00,1899-12-30 16:13:23,UberX,Uber Pay,1,4.58,$21.9,Kips Bay,1.0
33913,2024-06-11 00:00:00,1899-12-30 16:29:51,UberX,Uber Pay,1,1.66,$9.3,TriBeCa/Civic Center,1.0
33925,2024-06-11 00:00:00,1899-12-30 16:56:30,UberX,Uber Pay,1,1.26,$9.2,Upper West Side South,1.0
33931,2024-06-11 00:00:00,1899-12-30 16:54:46,UberX,Uber Pay,1,2.38,$13.0,Murray Hill,1.0
33937,2024-06-11 00:00:00,1899-12-30 16:08:06,UberX,Uber Pay,3,2.46,$15.7,Midtown North,1.0
33948,2024-06-11 00:00:00,1899-12-30 16:20:20,UberX,Uber Pay,1,3,$14.5,East Harlem South,1.0
33950,2024-06-11 00:00:00,1899-12-30 16:23:12,UberX,Uber Pay,1,4,$17.0,Midtown East,1.0
33955,2024-06-11 00:00:00,1899-12-30 16:34:50,UberX,Uber Pay,1,4.49,$20.7,Murray Hill,1.0
33958,2024-06-11 00:00:00,1899-12-30 16:43:51,UberX,Uber Pay,6,1.95,$10.5,Kips Bay,1.0
33960,2024-06-11 00:00:00,1899-12-30 16:49:16,UberX,Uber Pay,1,1.67,$9.2,West Chelsea/Hudson Yards,1.0
33964,2024-06-11 00:00:00,1899-12-30 16:30:51,UberX,Uber Pay,1,1.4,$8.0,Clinton East,1.0
33965,2024-06-11 00:00:00,1899-12-30 15:57:04,UberX,Uber Pay,3,1.78,$9.9,Lenox Hill East,1.0
33966,2024-06-11 00:00:00,1899-12-30 16:08:36,UberX,Uber Pay,3,1.73,$8.5,Sutton Place/Turtle Bay North,1.0
33969,2024-06-11 00:00:00,1899-12-30 16:42:02,UberX,Uber Pay,1,3.3,$16.0,NV,1.0
33972,2024-06-11 00:00:00,1899-12-30 16:12:31,UberX,Uber Pay,1,2.2,$11.7,Kips Bay,1.0
33975,2024-06-11 00:00:00,1899-12-30 16:38:15,UberX,Uber Pay,5,1.67,$9.8,Upper East Side South,1.0
33976,2024-06-11 00:00:00,1899-12-30 16:55:52,UberX,Uber Pay,1,1.05,$10.9,Manhattanville,1.0
33984,2024-06-11 00:00:00,1899-12-30 16:34:24,UberX,Uber Pay,3,1.41,$8.6,East Harlem South,1.0
33987,2024-06-11 00:00:00,1899-12-30 16:52:49,UberX,Uber Pay,1,4.2,$18.3,Upper East Side North,1.0
33990,2024-06-11 00:00:00,1899-12-30 16:50:22,UberX,Uber Pay,1,2.88,$15.3,Central Park,1.0
33997,2024-06-11 00:00:00,1899-12-30 16:27:57,UberX,Uber Pay,1,12.2,$54.9,Murray Hill,1.0
33998,2024-06-11 00:00:00,1899-12-30 16:07:40,UberX,Uber Pay,1,2.11,$10.5,Garment District,1.0
34004,2024-06-11 00:00:00,1899-12-30 16:48:14,UberX,Uber Pay,1,3.3,$13.5,Clinton East,1.0
34005,2024-06-11 00:00:00,1899-12-30 16:16:21,UberX,Uber Pay,1,4.55,$26.1,Upper East Side North,1.0
34007,2024-06-11 00:00:00,1899-12-30 16:05:22,UberX,Uber Pay,1,1.39,$9.0,Upper East Side South,1.0
34012,2024-06-11 00:00:00,1899-12-30 16:53:18,UberX,Uber Pay,1,8.49,$35.1,UN/Turtle Bay South,1.0
34014,2024-06-11 00:00:00,1899-12-30 16:18:54,UberX,Uber Pay,1,8.05,$43.5,Financial District North,1.0
34020,2024-06-11 00:00:00,1899-12-30 16:22:44,UberX,Uber Pay,2,12.19,$36.0,JFK Airport,1.0
34022,2024-06-11 00:00:00,1899-12-30 16:09:58,UberX,Uber Pay,2,1.72,$9.3,Flatiron,1.0
34023,2024-06-11 00:00:00,1899-12-30 16:38:55,UberX,Uber Pay,1,1.03,$7.5,Gramercy,1.0
34025,2024-06-11 00:00:00,1899-12-30 16:45:12,UberX,Uber Pay,1,1.7,$10.5,NV,1.0
34028,2024-06-11 00:00:00,1899-12-30 15:31:57,UberX,Uber Pay,3,2.25,$10.3,Midtown North,1.0
34032,2024-06-11 00:00:00,1899-12-30 16:51:58,UberX,Uber Pay,1,1.14,$8.0,Lincoln Square West,1.0
34038,2024-06-11 00:00:00,1899-12-30 16:10:22,UberX,Uber Pay,5,3.5,$16.5,Lenox Hill East,1.0
34040,2024-06-11 00:00:00,1899-12-30 16:52:03,UberX,Uber Pay,1,5.29,$25.5,Upper East Side North,1.0
34044,2024-06-11 00:00:00,1899-12-30 16:31:13,UberX,Uber Pay,2,2.74,$15.9,Midtown South,1.0
34047,2024-06-11 00:00:00,1899-12-30 16:44:21,UberX,Uber Pay,3,2.85,$13.5,Clinton West,1.0
34049,2024-06-11 00:00:00,1899-12-30 16:50:09,UberX,Uber Pay,6,10.55,$33.5,Gramercy,1.0
34059,2024-06-11 00:00:00,1899-12-30 16:26:24,UberX,Uber Pay,1,2.3,$14.1,Upper East Side North,1.0
34062,2024-06-11 00:00:00,1899-12-30 16:19:27,UberX,Uber Pay,1,1.88,$11.0,Midtown East,1.0
34065,2024-06-11 00:00:00,1899-12-30 16:08:22,UberX,Uber Pay,3,1.24,$9.0,Midtown East,1.0
34066,2024-06-11 00:00:00,1899-12-30 16:21:48,UberX,Uber Pay,6,7.02,$31.0,Upper East Side North,1.0
34067,2024-06-11 00:00:00,1899-12-30 16:35:51,UberX,Uber Pay,2,1.32,$17.7,Yorkville West,1.0
34071,2024-06-11 00:00:00,1899-12-30 16:19:12,UberX,Uber Pay,1,3.5,$16.2,East Harlem North,1.0
34074,2024-06-11 00:00:00,1899-12-30 16:49:40,UberX,Uber Pay,1,1.6,$8.7,Times Sq/Theatre District,1.0
34081,2024-06-11 00:00:00,1899-12-30 16:29:46,UberX,Uber Pay,1,2.15,$11.7,Garment District,1.0
34083,2024-06-11 00:00:00,1899-12-30 16:33:22,UberX,Uber Pay,1,2.08,$12.9,Murray Hill,1.0
34085,2024-06-11 00:00:00,1899-12-30 16:41:19,UberX,Uber Pay,1,3.6,$17.7,Upper East Side South,1.0
34087,2024-06-11 00:00:00,1899-12-30 16:42:02,UberX,Uber Pay,1,3.49,$16.5,East Village,1.0
34093,2024-06-11 00:00:00,1899-12-30 16:25:24,UberX,Uber Pay,6,1.52,$10.3,Midtown North,1.0
34095,2024-06-11 00:00:00,1899-12-30 16:18:35,UberX,Uber Pay,1,1.1,$8.7,Clinton East,1.0
34100,2024-06-11 00:00:00,1899-12-30 16:37:45,UberX,Uber Pay,1,3.96,$20.7,Sunnyside,1.0
34101,2024-06-11 00:00:00,1899-12-30 16:09:50,UberX,Uber Pay,1,1.04,$10.5,Flatiron,1.0
34105,2024-06-11 00:00:00,1899-12-30 16:46:54,UberX,Uber Pay,1,7.1,$28.0,Lenox Hill East,1.0
34106,2024-06-11 00:00:00,1899-12-30 16:29:05,UberX,Uber Pay,1,1.3,$8.8,Lenox Hill East,1.0
34107,2024-06-11 00:00:00,1899-12-30 16:07:41,UberX,Uber Pay,1,1.7,$11.7,Lincoln Square West,1.0
34108,2024-06-11 00:00:00,1899-12-30 16:38:51,UberX,Uber Pay,1,1.39,$8.7,Gramercy,1.0
34114,2024-06-11 00:00:00,1899-12-30 16:41:13,UberX,Uber Pay,1,1.78,$11.0,Lenox Hill West,1.0
34117,2024-06-11 00:00:00,1899-12-30 16:40:42,UberX,Uber Pay,1,1.7,$11.0,Greenwich Village North,1.0
34123,2024-06-11 00:00:00,1899-12-30 14:09:57,UberX,Uber Pay,1,9.54,$37.0,TriBeCa/Civic Center,1.0
34129,2024-06-11 00:00:00,1899-12-30 16:38:34,UberX,Uber Pay,1,4.28,$20.5,Gramercy,1.0
34130,2024-06-11 00:00:00,1899-12-30 16:13:48,UberX,Uber Pay,5,1.55,$11.1,Manhattan Valley,1.0
34131,2024-06-11 00:00:00,1899-12-30 16:43:56,UberX,Uber Pay,6,3.54,$16.5,Midtown South,1.0
34137,2024-06-11 00:00:00,1899-12-30 16:32:16,UberX,Uber Pay,1,1.28,$8.5,Union Sq,1.0
34140,2024-06-11 00:00:00,1899-12-30 16:19:58,UberX,Uber Pay,2,6.21,$29.0,Kips Bay,1.0
34141,2024-06-11 00:00:00,1899-12-30 16:25:29,UberX,Uber Pay,2,1.62,$9.0,Sutton Place/Turtle Bay North,1.0
34142,2024-06-11 00:00:00,1899-12-30 16:29:06,UberX,Uber Pay,1,1.3,$9.9,Flatiron,1.0
34151,2024-06-11 00:00:00,1899-12-30 16:34:58,UberX,Uber Pay,1,2.37,$9.5,Flatiron,1.0
34152,2024-06-11 00:00:00,1899-12-30 16:28:46,UberX,Uber Pay,1,2.25,$12.9,Upper East Side South,1.0
34156,2024-06-11 00:00:00,1899-12-30 16:40:31,UberX,Uber Pay,2,1.87,$9.8,Upper West Side North,1.0
34163,2024-06-11 00:00:00,1899-12-30 16:35:24,UberX,Uber Pay,1,5.52,$19.5,Central Harlem,1.0
34165,2024-06-11 00:00:00,1899-12-30 16:03:11,UberX,Uber Pay,2,2,$12.9,Lenox Hill West,1.0
34166,2024-06-11 00:00:00,1899-12-30 16:31:04,UberX,Uber Pay,1,2.4,$15.3,East Chelsea,1.0
34168,2024-06-11 00:00:00,1899-12-30 16:18:29,UberX,Uber Pay,1,2.8,$16.5,Central Harlem North,1.0
34170,2024-06-11 00:00:00,1899-12-30 17:17:57,UberX,Uber Pay,1,7.7,$28.5,LaGuardia Airport,1.0
34176,2024-06-11 00:00:00,1899-12-30 17:49:38,UberX,Uber Pay,1,2.7,$14.2,Upper East Side North,1.0
34179,2024-06-11 00:00:00,1899-12-30 17:32:59,UberX,Uber Pay,1,1.75,$10.5,Yorkville West,1.0
34181,2024-06-11 00:00:00,1899-12-30 17:19:42,UberX,Uber Pay,3,1.55,$10.0,Manhattan Valley,1.0
34182,2024-06-11 00:00:00,1899-12-30 17:02:37,UberX,Uber Pay,1,1.03,$8.5,South Jamaica,1.0
34186,2024-06-11 00:00:00,1899-12-30 17:21:37,UberX,Uber Pay,1,1.29,$8.7,Murray Hill,1.0
34190,2024-06-11 00:00:00,1899-12-30 17:31:54,UberX,Uber Pay,1,4.2,$18.3,Manhattan Valley,1.0
34195,2024-06-11 00:00:00,1899-12-30 17:10:57,UberX,Uber Pay,2,1.92,$12.0,Kips Bay,1.0
34197,2024-06-11 00:00:00,1899-12-30 17:57:46,UberX,Uber Pay,1,3.76,$15.9,East Chelsea,1.0
34206,2024-06-11 00:00:00,1899-12-30 17:59:13,UberX,Uber Pay,1,1.6,$9.3,Flatiron,1.0
34207,2024-06-11 00:00:00,1899-12-30 17:23:52,UberX,Uber Pay,1,4.66,$21.3,Midtown North,1.0
34212,2024-06-11 00:00:00,1899-12-30 17:43:22,UberX,Uber Pay,1,3.6,$20.1,Lincoln Square West,1.0
34214,2024-06-11 00:00:00,1899-12-30 17:11:47,UberX,Uber Pay,1,1.6,$9.3,Upper East Side North,1.0
34226,2024-06-11 00:00:00,1899-12-30 17:21:34,UberX,Uber Pay,1,1.14,$8.6,Greenwich Village South,1.0
34227,2024-06-11 00:00:00,1899-12-30 17:52:14,UberX,Uber Pay,1,1.5,$9.5,Times Sq/Theatre District,1.0
34228,2024-06-11 00:00:00,1899-12-30 17:37:52,UberX,Uber Pay,1,2.5,$14.1,East Harlem South,1.0
34229,2024-06-11 00:00:00,1899-12-30 17:26:45,UberX,Uber Pay,1,15.6,$57.3,NV,1.0
34231,2024-06-11 00:00:00,1899-12-30 17:34:19,UberX,Uber Pay,2,3.66,$15.0,LaGuardia Airport,1.0
34234,2024-06-11 00:00:00,1899-12-30 17:00:12,UberX,Uber Pay,2,1.75,$9.9,TriBeCa/Civic Center,1.0
34245,2024-06-11 00:00:00,1899-12-30 17:33:45,UberX,Uber Pay,1,2.9,$16.5,Upper West Side North,1.0
34248,2024-06-11 00:00:00,1899-12-30 17:55:19,UberX,Uber Pay,1,5.85,$26.7,Midtown South,1.0
34266,2024-06-11 00:00:00,1899-12-30 17:55:31,UberX,Uber Pay,1,3.7,$18.9,Upper East Side South,1.0
34268,2024-06-11 00:00:00,1899-12-30 17:18:26,UberX,Uber Pay,1,2.4,$14.5,Upper East Side North,1.0
34273,2024-06-11 00:00:00,1899-12-30 17:06:47,UberX,Uber Pay,1,2.1,$12.3,Lenox Hill West,1.0
34274,2024-06-11 00:00:00,1899-12-30 17:47:21,UberX,Uber Pay,1,2.1,$13.0,NV,1.0
34275,2024-06-11 00:00:00,1899-12-30 17:15:35,UberX,Uber Pay,1,1.59,$8.7,Garment District,1.0
34282,2024-06-11 00:00:00,1899-12-30 17:26:04,UberX,Uber Pay,1,1.09,$8.6,Murray Hill,1.0
34293,2024-06-11 00:00:00,1899-12-30 17:43:10,UberX,Uber Pay,2,6.6,$26.7,Yorkville West,1.0
34298,2024-06-11 00:00:00,1899-12-30 15:34:48,UberX,Uber Pay,1,1.09,$6.5,Garment District,1.0
34299,2024-06-11 00:00:00,1899-12-30 17:11:15,UberX,Uber Pay,3,3.22,$17.1,Clinton East,1.0
34300,2024-06-11 00:00:00,1899-12-30 17:12:33,UberX,Uber Pay,1,3.55,$18.6,Yorkville West,1.0
34301,2024-06-11 00:00:00,1899-12-30 17:04:09,UberX,Uber Pay,1,2.1,$11.0,Times Sq/Theatre District,1.0
34304,2024-06-11 00:00:00,1899-12-30 16:40:13,UberX,Uber Pay,1,6.48,$24.9,Lincoln Square East,1.0
34310,2024-06-11 00:00:00,1899-12-30 17:10:41,UberX,Uber Pay,1,3.04,$15.9,East Harlem South,1.0
34311,2024-06-11 00:00:00,1899-12-30 17:11:09,UberX,Uber Pay,1,1.73,$10.5,Upper West Side South,1.0
34319,2024-06-11 00:00:00,1899-12-30 17:25:09,UberX,Uber Pay,1,1.59,$10.5,Midtown Center,1.0
34326,2024-06-11 00:00:00,1899-12-30 17:49:39,UberX,Uber Pay,6,1.32,$9.5,Sutton Place/Turtle Bay North,1.0
34329,2024-06-11 00:00:00,1899-12-30 17:09:49,UberX,Uber Pay,1,1.49,$10.0,Yorkville West,1.0
34330,2024-06-11 00:00:00,1899-12-30 17:29:02,UberX,Uber Pay,1,1.43,$9.5,Midtown Center,1.0
34337,2024-06-11 00:00:00,1899-12-30 17:20:12,UberX,Uber Pay,1,1.68,$9.2,East Harlem South,1.0
34338,2024-06-11 00:00:00,1899-12-30 17:29:31,UberX,Uber Pay,1,3.86,$18.6,Clinton East,1.0
34339,2024-06-11 00:00:00,1899-12-30 17:05:06,UberX,Uber Pay,1,3.64,$17.1,Midtown South,1.0
34340,2024-06-11 00:00:00,1899-12-30 17:41:48,UberX,Uber Pay,1,1.89,$10.0,Midtown North,1.0
34341,2024-06-11 00:00:00,1899-12-30 17:36:47,UberX,Uber Pay,1,1.11,$9.7,Upper East Side South,1.0
34345,2024-06-11 00:00:00,1899-12-30 17:40:05,UberX,Uber Pay,1,1.3,$9.1,Yorkville West,1.0
34349,2024-06-11 00:00:00,1899-12-30 17:58:26,UberX,Uber Pay,1,1.96,$11.0,Yorkville West,1.0
34353,2024-06-11 00:00:00,1899-12-30 17:08:37,UberX,Uber Pay,1,2.7,$13.5,Lincoln Square West,1.0
34356,2024-06-11 00:00:00,1899-12-30 17:54:32,UberX,Uber Pay,1,1.75,$10.4,Lenox Hill West,1.0
34357,2024-06-11 00:00:00,1899-12-30 17:42:46,UberX,Uber Pay,1,8.3,$27.5,Financial District South,1.0
34358,2024-06-11 00:00:00,1899-12-30 17:13:58,UberX,Uber Pay,2,1.69,$10.0,Upper East Side North,1.0
34359,2024-06-11 00:00:00,1899-12-30 17:41:06,UberX,Uber Pay,1,1.68,$11.1,Yorkville West,1.0
34360,2024-06-11 00:00:00,1899-12-30 17:42:38,UberX,Uber Pay,1,2.1,$11.7,Midtown Center,1.0
34361,2024-06-11 00:00:00,1899-12-30 17:22:04,UberX,Uber Pay,3,2.53,$14.1,Midtown East,1.0
34362,2024-06-11 00:00:00,1899-12-30 17:45:36,UberX,Uber Pay,2,1.88,$8.7,Clinton East,1.0
34364,2024-06-11 00:00:00,1899-12-30 17:23:22,UberX,Uber Pay,1,1.1,$8.1,Lenox Hill West,1.0
34374,2024-06-11 00:00:00,1899-12-30 17:21:50,UberX,Uber Pay,1,2.4,$9.7,West Chelsea/Hudson Yards,1.0
34375,2024-06-11 00:00:00,1899-12-30 17:34:33,UberX,Uber Pay,1,1.1,$7.6,East Harlem South,1.0
34378,2024-06-11 00:00:00,1899-12-30 17:59:17,UberX,Uber Pay,1,1.32,$7.5,Sutton Place/Turtle Bay North,1.0
34380,2024-06-11 00:00:00,1899-12-30 17:49:54,UberX,Uber Pay,1,2.1,$11.5,Financial District South,1.0
34381,2024-06-11 00:00:00,1899-12-30 17:51:17,UberX,Uber Pay,1,4.07,$18.9,Upper East Side South,1.0
34386,2024-06-11 00:00:00,1899-12-30 17:57:30,UberX,Uber Pay,2,1.4,$9.5,Upper East Side South,1.0
34387,2024-06-11 00:00:00,1899-12-30 17:24:53,UberX,Uber Pay,1,1.31,$9.9,Lenox Hill East,1.0
34394,2024-06-11 00:00:00,1899-12-30 17:40:13,UberX,Uber Pay,1,5.06,$21.3,Gramercy,1.0
34395,2024-06-11 00:00:00,1899-12-30 17:00:00,UberX,Uber Pay,1,3.7,$14.0,East Harlem North,1.0
34396,2024-06-11 00:00:00,1899-12-30 17:57:39,UberX,Uber Pay,1,2.46,$12.0,Central Harlem,1.0
34397,2024-06-11 00:00:00,1899-12-30 17:34:22,UberX,Uber Pay,1,2.16,$13.5,Times Sq/Theatre District,1.0
34399,2024-06-11 00:00:00,1899-12-30 17:34:55,UberX,Uber Pay,1,3.66,$18.0,Hudson Sq,1.0
34400,2024-06-11 00:00:00,1899-12-30 17:28:37,UberX,Uber Pay,1,2,$9.7,Penn Station/Madison Sq West,1.0
34402,2024-06-11 00:00:00,1899-12-30 17:26:58,UberX,Uber Pay,1,2.88,$10.9,Times Sq/Theatre District,1.0
34403,2024-06-11 00:00:00,1899-12-30 17:37:29,UberX,Uber Pay,1,1.91,$14.3,Hudson Sq,1.0
34404,2024-06-11 00:00:00,1899-12-30 17:36:07,UberX,Uber Pay,1,9.06,$31.0,JFK Airport,1.0
34406,2024-06-11 00:00:00,1899-12-30 17:04:55,UberX,Uber Pay,1,11,$51.9,Penn Station/Madison Sq West,1.0
34407,2024-06-11 00:00:00,1899-12-30 17:27:22,UberX,Uber Pay,1,3,$14.5,Lenox Hill West,1.0
34408,2024-06-11 00:00:00,1899-12-30 17:46:52,UberX,Uber Pay,1,12.42,$50.5,JFK Airport,1.0
34409,2024-06-11 00:00:00,1899-12-30 17:07:50,UberX,Uber Pay,1,1.65,$10.5,Lenox Hill East,1.0
34410,2024-06-11 00:00:00,1899-12-30 17:51:13,UberX,Uber Pay,1,1.8,$11.7,East Harlem South,1.0
34415,2024-06-11 00:00:00,1899-12-30 18:14:48,UberX,Uber Pay,1,3.74,$20.5,Lenox Hill West,1.0
34424,2024-06-11 00:00:00,1899-12-30 18:06:36,UberX,Uber Pay,1,3.8,$15.5,Union Sq,1.0
34426,2024-06-11 00:00:00,1899-12-30 18:12:10,UberX,Uber Pay,3,1.1,$7.0,Lenox Hill East,1.0
34427,2024-06-11 00:00:00,1899-12-30 18:41:13,UberX,Uber Pay,1,5.06,$19.0,Kips Bay,1.0
34428,2024-06-11 00:00:00,1899-12-30 18:39:04,UberX,Uber Pay,2,1.4,$8.1,West Chelsea/Hudson Yards,1.0
34432,2024-06-11 00:00:00,1899-12-30 18:35:40,UberX,Uber Pay,1,1.8,$12.1,Sutton Place/Turtle Bay North,1.0
34434,2024-06-11 00:00:00,1899-12-30 18:02:52,UberX,Uber Pay,1,1.5,$8.8,Morningside Heights,1.0
34436,2024-06-11 00:00:00,1899-12-30 18:06:30,UberX,Uber Pay,1,2,$10.5,Murray Hill,1.0
34441,2024-06-11 00:00:00,1899-12-30 18:07:04,UberX,Uber Pay,1,2.1,$10.0,Upper West Side North,1.0
34442,2024-06-11 00:00:00,1899-12-30 18:24:30,UberX,Uber Pay,1,2.4,$12.0,Midtown Center,1.0
34451,2024-06-11 00:00:00,1899-12-30 18:53:21,UberX,Uber Pay,1,1.71,$10.5,Midtown East,1.0
34453,2024-06-11 00:00:00,1899-12-30 18:48:20,UberX,Uber Pay,2,2.76,$11.5,Midtown Center,1.0
34461,2024-06-11 00:00:00,1899-12-30 18:23:52,UberX,Uber Pay,1,2.35,$15.3,Financial District North,1.0
34465,2024-06-11 00:00:00,1899-12-30 18:36:29,UberX,Uber Pay,3,6.88,$28.5,Union Sq,1.0
34467,2024-06-11 00:00:00,1899-12-30 18:21:49,UberX,Uber Pay,1,4.1,$18.9,Union Sq,1.0
34468,2024-06-11 00:00:00,1899-12-30 00:54:54,UberX,Uber Pay,1,1.7,$9.5,Saint Albans,1.0
34470,2024-06-11 00:00:00,1899-12-30 18:35:24,UberX,Uber Pay,1,18.6,$50.0,JFK Airport,1.0
34472,2024-06-11 00:00:00,1899-12-30 18:29:14,UberX,Uber Pay,2,3.9,$18.5,Upper West Side South,1.0
34473,2024-06-11 00:00:00,1899-12-30 18:39:43,UberX,Uber Pay,1,1.97,$11.1,Gramercy,1.0
34475,2024-06-11 00:00:00,1899-12-30 18:19:41,UberX,Uber Pay,2,2.23,$9.7,Lenox Hill East,1.0
34477,2024-06-11 00:00:00,1899-12-30 18:39:24,UberX,Uber Pay,1,2.91,$18.0,Clinton East,1.0
34480,2024-06-11 00:00:00,1899-12-30 18:47:55,UberX,Uber Pay,1,4.24,$14.5,Schuylerville/Edgewater Park,1.0
34482,2024-06-11 00:00:00,1899-12-30 18:39:07,UberX,Uber Pay,1,4.84,$19.5,Murray Hill,1.0
34484,2024-06-11 00:00:00,1899-12-30 18:07:38,UberX,Uber Pay,1,3.31,$17.7,Gramercy,1.0
34485,2024-06-11 00:00:00,1899-12-30 18:21:52,UberX,Uber Pay,2,6.8,$21.0,Clinton East,1.0
34487,2024-06-11 00:00:00,1899-12-30 18:55:38,UberX,Uber Pay,1,3.24,$11.5,Kips Bay,1.0
34489,2024-06-11 00:00:00,1899-12-30 18:01:53,UberX,Uber Pay,1,1.2,$9.7,Union Sq,1.0
34490,2024-06-11 00:00:00,1899-12-30 18:11:57,UberX,Uber Pay,1,3.8,$19.8,East Chelsea,1.0
34492,2024-06-11 00:00:00,1899-12-30 18:52:05,UberX,Uber Pay,1,2.64,$14.2,Kips Bay,1.0
34505,2024-06-11 00:00:00,1899-12-30 17:51:17,UberX,Uber Pay,2,1.51,$11.1,Yorkville East,1.0
34506,2024-06-11 00:00:00,1899-12-30 18:16:48,UberX,Uber Pay,1,3.24,$15.6,Sutton Place/Turtle Bay North,1.0
34510,2024-06-11 00:00:00,1899-12-30 18:29:36,UberX,Uber Pay,1,1.82,$10.5,Upper West Side South,1.0
34511,2024-06-11 00:00:00,1899-12-30 18:48:47,UberX,Uber Pay,2,1.53,$10.0,Midtown Center,1.0
34512,2024-06-11 00:00:00,1899-12-30 18:02:21,UberX,Uber Pay,1,2.69,$12.9,Midtown Center,1.0
34515,2024-06-11 00:00:00,1899-12-30 18:15:23,UberX,Uber Pay,1,7.9,$24.5,East Harlem North,1.0
34519,2024-06-11 00:00:00,1899-12-30 18:59:35,UberX,Uber Pay,1,1.69,$9.7,Lenox Hill West,1.0
34522,2024-06-11 00:00:00,1899-12-30 18:07:22,UberX,Uber Pay,1,6.08,$25.3,Upper West Side South,1.0
34523,2024-06-11 00:00:00,1899-12-30 18:32:48,UberX,Uber Pay,1,8.3,$32.7,Upper East Side South,1.0
34524,2024-06-11 00:00:00,1899-12-30 18:33:55,UberX,Uber Pay,1,8,$30.3,LaGuardia Airport,1.0
34527,2024-06-11 00:00:00,1899-12-30 18:04:27,UberX,Uber Pay,2,2.8,$13.5,Yorkville West,1.0
34531,2024-06-11 00:00:00,1899-12-30 18:40:51,UberX,Uber Pay,1,1.23,$7.5,Central Harlem North,1.0
34534,2024-06-11 00:00:00,1899-12-30 18:33:24,UberX,Uber Pay,1,3.88,$17.1,Midtown East,1.0
34538,2024-06-11 00:00:00,1899-12-30 18:12:59,UberX,Uber Pay,1,2.9,$14.1,Lenox Hill East,1.0
34540,2024-06-11 00:00:00,1899-12-30 18:42:54,UberX,Uber Pay,3,4.01,$18.5,Gramercy,1.0
34542,2024-06-11 00:00:00,1899-12-30 18:22:36,UberX,Uber Pay,1,1.3,$8.1,Murray Hill,1.0
34545,2024-06-11 00:00:00,1899-12-30 18:37:14,UberX,Uber Pay,1,2.05,$12.4,Manhattan Valley,1.0
34546,2024-06-11 00:00:00,1899-12-30 18:36:18,UberX,Uber Pay,1,3.57,$16.2,Upper East Side North,1.0
34547,2024-06-11 00:00:00,1899-12-30 18:22:01,UberX,Uber Pay,1,3.37,$15.5,Midtown South,1.0
34549,2024-06-11 00:00:00,1899-12-30 18:24:12,UberX,Uber Pay,1,10.2,$43.6,Penn Station/Madison Sq West,1.0
34553,2024-06-11 00:00:00,1899-12-30 18:14:07,UberX,Uber Pay,2,1.5,$8.7,Times Sq/Theatre District,1.0
34554,2024-06-11 00:00:00,1899-12-30 18:35:06,UberX,Uber Pay,1,1.4,$9.9,Penn Station/Madison Sq West,1.0
34557,2024-06-11 00:00:00,1899-12-30 18:36:31,UberX,Uber Pay,1,6.49,$28.5,Lincoln Square West,1.0
34559,2024-06-11 00:00:00,1899-12-30 18:35:13,UberX,Uber Pay,1,1.47,$10.4,Garment District,1.0
34568,2024-06-11 00:00:00,1899-12-30 18:17:05,UberX,Uber Pay,4,3.46,$16.5,Kips Bay,1.0
34569,2024-06-11 00:00:00,1899-12-30 18:26:47,UberX,Uber Pay,1,8,$29.5,Clinton East,1.0
34570,2024-06-11 00:00:00,1899-12-30 18:26:38,UberX,Uber Pay,1,1.2,$7.5,Manhattanville,1.0
34573,2024-06-11 00:00:00,1899-12-30 18:14:36,UberX,Uber Pay,1,1.65,$9.9,Midtown East,1.0
34574,2024-06-11 00:00:00,1899-12-30 18:56:17,UberX,Uber Pay,1,3.32,$14.2,Midtown East,1.0
34580,2024-06-11 00:00:00,1899-12-30 18:25:23,UberX,Uber Pay,1,2.4,$13.5,Clinton West,1.0
34585,2024-06-11 00:00:00,1899-12-30 18:33:03,UberX,Uber Pay,6,1.57,$7.6,Long Island City/Queens Plaza,1.0
34588,2024-06-11 00:00:00,1899-12-30 18:41:23,UberX,Uber Pay,1,1.49,$11.5,Upper West Side South,1.0
34592,2024-06-11 00:00:00,1899-12-30 18:14:46,UberX,Uber Pay,1,1.25,$8.7,Union Sq,1.0
34596,2024-06-11 00:00:00,1899-12-30 18:02:29,UberX,Uber Pay,2,4,$18.3,Gramercy,1.0
34609,2024-06-11 00:00:00,1899-12-30 18:29:42,UberX,Uber Pay,1,3.3,$14.1,West Chelsea/Hudson Yards,1.0
34610,2024-06-11 00:00:00,1899-12-30 18:51:14,UberX,Uber Pay,1,2,$12.3,Union Sq,1.0
34613,2024-06-11 00:00:00,1899-12-30 18:51:48,UberX,Uber Pay,1,2.84,$15.0,Lenox Hill West,1.0
34616,2024-06-11 00:00:00,1899-12-30 19:04:28,UberX,Uber Pay,1,1.6,$8.0,Upper East Side North,1.0
34619,2024-06-11 00:00:00,1899-12-30 19:48:45,UberX,Uber Pay,1,2.7,$15.5,Midtown Center,1.0
